school,region,rank,n_majors,majors,tuition_min,tuition_max,guide_status,guide_url,lang_req
경상국립대학교,경상남도,,60,"우주항공정책학부, 경영정보학과, 경영학과, 경제학과, 교육학과, 교육철학및교육사전공 외 54개",,,2026_or_older,https://www.gnu.ac.kr/graduate/main.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
경일대학교,경상북도,,27,"경영학과, 경찰학과, 교육학과, 부동산지적학과, 사회복지학과, 심리학과 외 21개",,,not_found,https://grad.kiu.ac.kr/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
계명대학교,대구광역시,,59,"미술학과, 디자인학과, 미디어아트학과, 음악학과, 경영정보학과, 경영학과 외 53개",,,2026_or_older,https://gs.kmu.ac.kr/gs/8393/subview.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
광주대학교,광주광역시,,41,"경영학과, 회계세무학과, 물류유통경영학과, 호텔관광경영학과, 호텔외식조리학과, 경찰학과 외 35개",,,2026_or_older,https://grad.gwangju.ac.kr/page/?site=grad&mn=1448,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
국립강릉원주대학교,강원도,,36,"체육학과, 조형예술·디자인학과, 음악학과, 조소전공, 공예디자인전공, 예체능학과 외 30개",,,2026_or_older,https://gradgn.kangwon.ac.kr/sites/grad/index.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
국립경국대학교,경상북도,,24,"데이터사이언스학과, 식품생명공학과, 응급구조학과, 소프트웨어융합학과, 화학생명공학과, 반도체·신소재공학전공 외 18개",,,2026_or_older,https://graduation.gknu.ac.kr/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
국립군산대학교,전라북도,,46,"국어국문학과, 영어영문학과, 일어일문학과, 중국학과, 미디어문화학과, 경영학과 외 40개",,,2026_or_older,https://www.kunsan.ac.kr/inter/index.kunsan?menuCd=DOM_000013303002000000,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
국립금오공과대학교,경상북도,,24,"동일한학과, 기계공학과, 전자공학과, 컴퓨터·AI융합공학과, 소프트웨어공학과, 건축공학과 외 18개",,,2026_or_older,https://www.kumoh.ac.kr/cam/sub030103.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
국립목포해양대학교,전라남도,,21,"해상운송시스템학과, 항법시스템공학전공, 해양안전시스템공학전공, 해양정보시스템학전공, 국제물류학전공, 기관시스템공학과 외 15개",,,2026_or_older,https://www.mmu.ac.kr/OA/board/136/1/read/88085,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
국립부경대학교,부산광역시,,60,"복수전공, 동일·유사전공, 행정복지학부, 경영학부, 국제통상학부, 수산생명의학과 외 54개",2070000,2657000,2027_guide,http://admission.pknu.ac.kr/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
국립순천대학교,전라남도,,60,"학과부전공, 행정학과, 경영학과, 회계학과, 무역학과, 물류학과 외 54개",2003000,3024000,2026_or_older,https://www.scnu.ac.kr/ials/na/ntt/selectNttList.do?mi=2045&bbsId=1411,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
